ORBIT_CNT,t,DETECTOR,LAYER,COLUMN,EVENT,DRIFT_TIME
1919927072,10549.166666666666,2,1,15,1,174.16666666666606
1919927072,10651.666666666666,1,1,13,1,276.66666666666606
1919927072,10633.333333333334,2,1,13,1,258.33333333333394
1919927072,10668.333333333334,2,1,15,1,293.33333333333394
1919927072,10686.666666666666,2,3,15,1,311.66666666666606
1919927072,10646.666666666666,2,4,13,1,271.66666666666606
1919927072,10586.666666666666,2,1,14,1,211.66666666666606
1919927132,12932.5,2,1,6,1,57.5
1919927132,12951.666666666666,2,2,3,1,76.66666666666606
1919927132,12911.666666666666,2,4,4,1,36.66666666666606
1919927132,13050.833333333334,2,4,3,1,175.83333333333394
1919927132,12902.5,2,3,5,1,27.5
1919927132,12987.5,2,4,5,1,112.5
1919927132,12920.833333333334,2,2,4,1,45.83333333333394
1919927132,13065.833333333334,2,1,5,1,190.83333333333394
1919927146,86894.16666666667,4,4,13,1,94.16666666667152
1919927146,86960.83333333333,4,3,14,1,160.83333333332848
1919927146,86975.83333333333,4,2,13,1,175.83333333332848
1919927199,237.5,3,2,5,1,37.5
1919927199,215.83333333333334,3,1,2,1,15.833333333333343
1919927199,226.66666666666666,3,4,5,1,26.666666666666657
1919927199,350.8333333333333,3,3,2,1,150.83333333333331
1919927239,49582.5,3,4,7,1,7.5
1919927239,49747.5,3,3,1,1,172.5
1919927239,49581.666666666664,1,2,9,1,6.666666666664241
1919927239,49594.166666666664,3,4,3,1,19.16666666666424
1919927239,49619.166666666664,1,2,2,1,44.16666666666424
1919927239,49813.333333333336,3,4,1,1,238.33333333333576
1919927239,49682.5,1,1,9,1,107.5
1919927239,49654.166666666664,3,2,2,1,79.16666666666424
1919927239,49605.833333333336,1,4,2,1,30.83333333333576
1919927239,49740.833333333336,1,4,12,1,165.83333333333576
1919927239,49777.5,1,1,8,1,202.5
1919927239,49779.166666666664,1,1,2,1,204.16666666666424
1919927239,49816.666666666664,1,4,14,1,241.66666666666424
1919927239,49870.833333333336,1,3,2,1,295.83333333333576
1919927239,49740.833333333336,1,3,16,1,165.83333333333576
1919927239,49575.833333333336,1,3,10,1,0.8333333333357587
1919927239,49792.5,1,2,11,1,217.5
1919927239,49690.0,1,1,14,1,115.0
1919927239,49869.166666666664,1,3,16,1,294.16666666666424
1919927239,49804.166666666664,1,3,11,1,229.16666666666424
1919927239,49711.666666666664,1,1,12,1,136.66666666666424
1919927239,49741.666666666664,1,2,13,1,166.66666666666424
1919927239,49836.666666666664,1,3,13,1,261.66666666666424
1919927377,84946.66666666667,3,2,12,1,46.66666666667152
1919927377,85145.83333333333,3,2,7,1,245.83333333332848
1919927377,85050.83333333333,3,3,12,1,150.83333333332848
1919927377,85117.5,3,4,7,1,217.5
1919927495,50599.166666666664,3,3,12,1,74.16666666666424
1919927495,50584.166666666664,4,1,7,1,59.16666666666424
1919927495,50560.833333333336,3,1,13,1,35.83333333333576
1919927495,50626.666666666664,4,2,7,1,101.66666666666424
1919927495,50578.333333333336,3,1,8,1,53.33333333333576
1919927495,50643.333333333336,3,2,12,1,118.33333333333576
1919927495,50627.5,4,4,7,1,102.5
1919927495,50640.0,3,4,12,1,115.0
1919927495,50605.833333333336,3,3,8,1,80.83333333333576
1919927788,25275.833333333332,4,1,15,1,0.8333333333321207
1919927788,25287.5,4,3,15,1,12.5
1919927788,25409.166666666668,4,2,16,1,134.16666666666788
1919927844,3295.8333333333335,3,2,1,1,95.83333333333348
1919927844,3338.3333333333335,4,1,1,1,138.33333333333348
1919927844,3290.8333333333335,3,4,1,1,90.83333333333348
1919927844,3272.5,3,1,2,1,72.5
1919927844,3444.1666666666665,4,3,1,1,244.16666666666652
1919927844,3276.6666666666665,3,3,2,1,76.66666666666652
1919927844,3380.8333333333335,4,2,1,1,180.83333333333348
1919927844,3385.0,3,1,2,1,185.0
1919927844,3397.5,4,4,1,1,197.5
1919927912,26890.0,4,3,5,1,90.0
1919927912,27023.333333333332,4,2,4,1,223.33333333333212
1919927912,26998.333333333332,4,4,4,1,198.33333333333212
1919927941,61675.833333333336,4,2,1,1,50.83333333333576
1919927941,61638.333333333336,4,4,1,1,13.333333333335759
1919927941,61790.0,4,1,2,1,165.0
1919927941,61800.0,4,3,2,1,175.0
1919927960,28560.0,3,2,6,1,85.0
1919927960,28613.333333333332,3,1,7,1,138.33333333333212
1919927960,28582.5,3,4,6,1,107.5
1919927960,28675.0,3,3,11,1,200.0
1919927960,28625.0,3,3,7,1,150.0
1919927960,28764.166666666668,3,1,10,1,289.1666666666679
1919928107,6068.333333333333,3,3,10,1,68.33333333333303
1919928107,6034.166666666667,3,2,9,1,34.16666666666697
1919928107,6078.333333333333,3,1,5,1,78.33333333333303
1919928107,6032.5,3,4,9,1,32.5
1919928107,6212.5,3,3,5,1,212.5
1919928202,15758.333333333334,3,1,10,1,8.33333333333394
1919928202,15852.5,3,2,9,1,102.5
1919928202,15797.5,4,3,2,1,47.5
1919928202,15906.666666666666,3,3,10,1,156.66666666666606
1919928202,15850.833333333334,4,2,1,1,100.83333333333394
1919928202,15927.5,4,4,1,1,177.5
1919928202,15915.833333333334,4,3,7,1,165.83333333333394
1919928202,15974.166666666666,4,1,2,1,224.16666666666606
1919928202,15807.5,4,1,8,1,57.5
1919928202,15774.166666666666,4,2,3,1,24.16666666666606
1919928202,15791.666666666666,4,4,4,1,41.66666666666606
1919928202,15937.5,4,4,7,1,187.5
1919928202,15826.666666666666,4,1,4,1,76.66666666666606
1919928282,22504.166666666668,3,3,12,1,4.166666666667879
1919928282,22530.833333333332,3,2,4,1,30.83333333333212
1919928282,22585.833333333332,3,4,6,1,85.83333333333212
1919928282,22540.0,3,1,3,1,40.0
1919928282,22665.0,3,1,13,1,165.0
1919928282,22554.166666666668,3,1,5,1,54.16666666666788
1919928282,22815.0,3,1,16,1,315.0
1919928282,22768.333333333332,3,4,5,1,268.3333333333321
1919928282,22524.166666666668,3,4,12,1,24.16666666666788
1919928282,22525.833333333332,3,3,3,1,25.83333333333212
1919928282,22731.666666666668,3,3,13,1,231.66666666666788
1919928282,22611.666666666668,3,1,4,1,111.66666666666788
1919928282,22527.5,3,3,1,1,27.5
1919928282,22715.0,3,4,11,1,215.0
1919928282,22676.666666666668,3,2,3,1,176.66666666666788
1919928282,22720.0,3,3,4,1,220.0
1919928282,22523.333333333332,3,2,1,1,23.33333333333212
1919928282,22682.5,3,4,3,1,182.5
1919928282,22776.666666666668,3,3,5,1,276.6666666666679
1919928282,22690.0,3,1,2,1,190.0
1919928282,22642.5,3,4,2,1,142.5
1919928282,22600.0,3,3,2,1,100.0
1919928282,22719.166666666668,3,3,1,1,219.16666666666788
1919928282,22780.833333333332,3,1,1,1,280.8333333333321
1919928352,80585.0,4,2,5,1,85.0
1919928352,80709.16666666667,4,4,5,1,209.16666666667152
1919928352,80543.33333333333,4,1,6,1,43.33333333332848
1919928352,80640.0,4,3,6,1,140.0
1919928875,55056.666666666664,4,2,2,2,6.666666666664241
1919928875,55071.666666666664,4,3,3,2,21.66666666666424
1919928875,55195.833333333336,4,4,2,2,145.83333333333576
1919928875,55209.166666666664,4,2,3,2,159.16666666666424
1919928875,55100.833333333336,3,1,3,2,50.83333333333576
1919928875,55095.0,3,2,5,2,45.0
1919928875,55091.666666666664,3,3,3,2,41.66666666666424
1919929240,32107.5,3,2,2,1,57.5
1919929240,32141.666666666668,3,1,2,1,91.66666666666788
1919929240,32112.5,3,4,2,1,62.5
1919929240,32129.166666666668,3,3,2,1,79.16666666666788
1919929240,32249.166666666668,3,2,1,1,199.16666666666788
1919929240,32241.666666666668,3,4,1,1,191.66666666666788
1919929275,63637.5,3,1,2,1,62.5
1919929275,63631.666666666664,3,1,3,1,56.66666666666424
1919929275,63645.0,3,2,1,1,70.0
1919929275,63647.5,3,3,3,1,72.5
1919929275,63665.833333333336,3,4,1,1,90.83333333333576
1919929315,34784.166666666664,4,4,6,1,9.166666666664241
1919929315,34834.166666666664,4,2,2,1,59.16666666666424
1919929315,34873.333333333336,4,1,3,1,98.33333333333576
1919929315,34777.5,4,3,7,1,2.5
1919929330,79827.5,4,3,4,1,77.5
1919929330,79937.5,4,1,2,1,187.5
1919929330,79805.83333333333,4,2,4,1,55.83333333332848
1919929330,79860.0,4,4,3,1,110.0
1919929330,79909.16666666667,4,3,2,1,159.16666666667152
1919929451,23195.0,4,1,6,1,20.0
1919929451,23185.833333333332,4,3,6,1,10.83333333333212
1919929451,23233.333333333332,4,1,8,1,58.33333333333212
1919929451,23206.666666666668,4,4,6,1,31.66666666666788
1919929451,23274.166666666668,4,3,8,1,99.16666666666788
1919929451,23339.166666666668,4,2,7,1,164.16666666666788
1919929528,31920.833333333332,4,4,3,1,45.83333333333212
1919929528,31885.0,4,3,5,1,10.0
